,BID,Plot,math,dp,implementation,greedy,data structures,sortings,dfs,graphs,trees,constructive algorithms,brute force,strings,binary search,number theory,geometry
50,1010/A," The first line contains a single integer n n ( 2_1000 2 )  number of planets. The second line contains the only integer m m ( 1_1000 1 )  weight of the payload. The third line contains n n integers a 1 , a 2 ,, a n a ( 1 a i 1000 1 ), where a i a is the number of tons, which can be lifted off by one ton of fuel. The fourth line contains n n integers b 1 , b 2 ,, b n b ( 1 b i 1000 1 ), where b i b is the number of tons, which can be landed by one ton of fuel. It is guaranteed, that if Natasha can make a flight, then it takes no more than 10 9 10 tons of fuel.",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,1010/B," The first line contains two integers m m and n n ( 1_ 10 9 1 , 1_30 1 )  the maximum distance to Mars and the number of elements in the sequence p p .",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,1010/C," The first line contains two integers n n and k k ( 1_100000 1 , 2_100000 2 )  the number of denominations of banknotes and the base of the number system on Mars. The second line contains n n integers a 1 , a 2 ,, a n a ( 1 a i  10 9 1 )  denominations of banknotes on Mars. All numbers are given in decimal notation.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,1010/D," The first line contains a single integer n n ( 2_ 10 6 2 )  the number of vertices in the graph (both inputs and elements). The i i -th of the next n n lines contains a description of i i -th vertex: the first word ""AND"", ""OR"", ""XOR"", ""NOT"" or ""IN"" (means the input of the scheme) is the vertex type. If this vertex is ""IN"", then the value of this input follows ( 0 0 or 1 1 ), otherwise follow the indices of input vertices of this element: ""AND"", ""OR"", ""XOR"" have 2 2 inputs, whereas ""NOT"" has 1 1 input. The vertices are numbered from one. It is guaranteed that input data contains a correct logical scheme with an output produced by the vertex 1 1 .",0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
54,1010/E," The first line contains 6 6 integers x max x , y max y , z max z , n n , m m , k k ( 1 x max , y max , z max  10 5 1 , 1_ 10 5 1 , 0_ 10 5 0 , 1_ 10 5 1 )  number of months in a year, days in a month, seconds in a day, times when the store (according to a Martian) was opened, when it was closed and Natasha's queries. The i i -th of the next n n lines contains 3 3 integers x i x , y i y , z i z ( 1 x i  x max 1 , 1 y i  y max 1 , 1 z i  z max 1 )  month, day and second of i i -th time, when the store, according to the Martian, was opened. The i i -th of the next m m lines contains 3 3 integers x i x , y i y , z i z ( 1 x i  x max 1 , 1 y i  y max 1 , 1 z i  z max 1 )  month, day and second of i i -th time, when the store, according to the Martian, was closed. The i i -th of the next k k lines contains 3 3 integers x i x , y i y , z i z ( 1 x i  x max 1 , 1 y i  y max 1 , 1 z i  z max 1 )  month, day and second of i i -th Natasha's query.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,1010/F," The first line contains two integers: n n and x x ( 1_ 10 5 1 , 0_ 10 18 0 )  the size of the tree and the number of fruits in the root. The i i -th of the following (n1) ( lines contains two integers a i a and b i b ( 1 a i , b i _ 1 )  vertices connected by the i i -th edge of the tree. It is guaranteed that the input data describes a correct binary tree with the root at the vertex 1 1 .",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
56,1011/A," The first line of input contains two integers  n n and k k ( 1__50 1 )  the number of available stages and the number of stages to use in the rocket. The second line contains string s s , which consists of exactly n n lowercase Latin letters. Each letter defines a new stage, which can be used to build the rocket. Each stage can be used at most once.",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
57,1011/B," The first line contains two integers n n and m m ( 1_100 1 , 1_100 1 )  the number of the expedition participants and the number of the daily food packages available. The second line contains sequence of integers a 1 , a 2 ,, a m a ( 1 a i 100 1 ), where a i a is the type of i i -th food package.",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
58,1012/A," The first line of the input contains an only integer n n ( 1_100000 1 ), the number of points in Pavel's records. The second line contains 2_ 2 integers a 1 a , a 2 a , ..., a 2_ a ( 1 a i  10 9 1 ), coordinates, written by Pavel in some order.",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
59,1012/B," The first line contains three integers n, m, q (1___,___200000; 0______in(nÂ·m,200000)), the chemical table dimensions and the number of elements scientists already have. The following q lines contain two integers ri, ci (1___i___, 1___i___), each describes an element that scientists already have. All elements in the input are different.",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
60,1012/C, The first line of input contains the only integer n (1_____5000)_he number of the hills in the sequence. Second line contains n integers ai (1___i__100000)_he heights of the hills in the sequence.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1012/D," The first line contains a string s (1__|s|__2Â·105). The second line contains a string t (1__|t|__2Â·105). Here |s| and |t| denote the lengths of s and t, respectively. It is guaranteed that at least one of the strings contains at least one a letter and at least one of the strings contains at least one b letter.",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
62,1012/E," The first line of the input contains two integers n n and s s ( 1_200000 1 , 0_200000 0 )_he number of elements in the array and the upper bound on the sum of cycle lengths. The next line contains n n integers a 1 , a 2 ,, a n a _lements of the array ( 1 a i  10 9 1 ).",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1012/F," In the first line of the input there are two integers N (1_____22) and P (1_____2)_he number of trips and the number of passports Gleb has, respectively. The next N lines describe Gleb's trips. Each line contains three positive integers si, leni, ti (1___i,_eni,_i__109)_he first day of the trip, the length of the trip and number of days the consulate of this country needs to process a visa application. It is guaranteed that no two trips intersect.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
64,1013/A," The first line of the input file contains a single integer n n , the number of piles with stones in the garden ( 1_50 1 ). The second line contains n n integers separated by spaces x 1 , x 2 ,, x n x , the number of stones in piles recorded in the notebook when the participants came to the place with stones for the first time ( 0 x i 1000 0 ). The third line contains n n integers separated by spaces y 1 , y 2 ,, y n y , the number of stones in piles recorded in the notebook when the participants came to the place with stones for the second time ( 0 y i 1000 0 ).",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1013/B," The first line contains integers n and x (2_____100000, 1_____100000), number of elements in the array and the number to and with. The second line contains n integers ai (1___i__100000), the elements of the array.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,1015/A," The first line of the input contains two integers n n and m m ( 1_,m100 1 )  the number of segments and the upper bound for coordinates. The next n n lines contain two integers each l i l and r i r ( 1 l i  r i _ 1 )  the endpoints of the i i -th segment. Segments may intersect, overlap or even coincide with each other. Note, it is possible that l i = r i l , i.e. a segment can degenerate to a point.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,1015/B, The first line of the input contains one integer n n ( 1_50 1 )  the length of strings s s and t t . The second line of the input contains the string s s consisting of n n lowercase Latin letters. The third line of the input contains the string t t consisting of n n lowercase Latin letters.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,1015/C," The first line of the input contains two integers n n and m m ( 1_ 10 5 ,1_ 10 9 1 )  the number of the songs on Ivan's phone and the capacity of Ivan's flash drive. The next n n lines contain two integers each: the i i -th line contains two integers a i a and b i b ( 1 a i , b i  10 9 1 , a i > b i a )  the initial size of the i i -th song and the size of the i i -th song after compression.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,1015/D," The first line of the input contains three integers n n , k k , s s ( 2_ 10 9 2 , 1_2 10 5 1 , 1_ 10 18 1 )  the number of houses, the number of moves and the total distance you want to walk.",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
70,1015/E1," The first line of the input contains two integers n n and m m ( 3_,m100 3 )  the sizes of the given grid. The next n n lines contains m m characters each, the i i -th line describes the i i -th row of the grid. It is guaranteed that grid consists of characters '*' and '.' only.",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
71,1015/E2," The first line of the input contains two integers n n and m m ( 3_,m1000 3 )  the sizes of the given grid. The next n n lines contains m m characters each, the i i -th line describes the i i -th row of the grid. It is guaranteed that grid consists of characters '*' and '.' only.",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
72,1015/F, The first line of the input contains one integer n n ( 1_100 1 )  the half-length of the resulting regular bracket sequences (the resulting sequences must have length equal to 2n 2 ). The second line of the input contains one string s s ( 1|s|200 1 )  the string s s that should be a substring in each of the resulting regular bracket sequences ( |s| | is the length of s s ).,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
73,1016/A," The first line of the input contains two integers n n , m m ( 1_2 10 5 1 , 1_ 10 9 1 )  the number of days you will write names in the notebook and the number of names which can be written on each page of the notebook. The second line contains n n integers a 1 , a 2 ,, a n a ( 1 a i  10 9 1 ), where a i a means the number of names you will write in the notebook during the i i -th day.",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
74,1016/B," The first line contains three integer numbers n n , m m and q q ( 1_,m 10 3 1 , 1_ 10 5 1 )  the length of string s s , the length of string t t and the number of queries, respectively. The second line is a string s s ( |s|=n | ), consisting only of lowercase Latin letters. The third line is a string t t ( |t|=m | ), consisting only of lowercase Latin letters. Each of the next q q lines contains two integer numbers l i l and r i r ( 1 l i  r i _ 1 )  the arguments for the i i -th query.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
75,1016/C," The first line contains the number n (1_____3Â·105)  the length of the glade. The second line contains n numbers a1,_2,...,_n (1___i__106)  the growth rate of mushrooms in the first row of the glade. The third line contains n numbers b1,_2,...,_n (1___i__106) is the growth rate of mushrooms in the second row of the glade.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
76,1016/D," The first line contains two numbers n and m (2___,___100)  the dimensions of the matrix. The second line contains n numbers a1,_2,...,_n (0___i__109), where ai is the xor of all elements in row i. The third line contains m numbers b1,_2,...,_m (0___i__109), where bi is the xor of all elements in column i.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77,1016/E," First line contains three space separated integers s y s , a a and b b (  10 9  s y <0  , 1_<b 10 9 1 )  corresponding coordinates of the light source. Second line contains single integer n n ( 1_2 10 5 1 )  number of segments in the fence. Next n n lines contain two integers per line: l i l and r i r ( 1 l i < r i  10 9 1 , r i1 < l i r )  segments in the fence in increasing order. Segments don't intersect or touch each other. Next line contains single integer q q ( 1_2 10 5 1 )  number of points to check. Next q q lines contain two integers per line: x i x and y i y ( 1 x i , y i  10 9 1 )  points to process.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
78,1016/F," The first line contains two integers n n and m m ( 3_3 10 5 3 , 1_3 10 5 1 )  the number of cities and the number of projects, respectively. Each of the next n1 n lines contains three integers v i v , u i u and w i w ( 1 v i , u i _ 1 , 1 w i  10 9 1 )  the description of the i i -th road. It is guaranteed that there exists exactly one path, which visits each road no more than once, between every pair of cities. Each of the next m m lines contains a single integer x j x ( 1 x j  10 9 1 )  the length of the road for the j j -th project.",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
79,1016/G," First line contains three integers n n , X X and Y Y ( 1_2 10 5 1 , 1__ 10 18 1 )  the number of candidates and corresponding constants. Second line contains n n space separated integers a 1 , a 2 ,, a n a ( 1 a i  10 18 1 )  ranks of candidates.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,1017/A," The first line contains a single integer n n ( 1_1000 1 )  the number of students. Each of the next n n lines contains four integers a i a , b i b , c i c , and d i d ( 0 a i , b i , c i , d i 100 0 )  the grades of the i i -th student on English, German, Math, and History. The id of the i i -th student is equal to i i .",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,1017/B, The first line contains one integer n n ( 2_ 10 5 2 )  the number of bits in each number. The second line contains a binary number a a of length n n . The third line contains a binary number b b of length n n .,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,1017/C, The only line contains one integer n n ( 1_ 10 5 1 )  the length of permutation that you need to build.,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
83,1017/D," The first line contains three integers n n , m m , and q q ( 1_12 1 , 1_,m5 10 5 1 )  the length of the ""01-strings"", the size of the multiset S S , and the number of queries. The second line contains n n integers w 1 , w 2 ,, w n w ( 0 w i 100 0 )  the value of the i i -th caracter. Each of the next m m lines contains the ""01-string"" s s of length n n   the string in the multiset S S . Each of the next q q lines contains the ""01-string"" t t of length n n and integer k k ( 0_100 0 )  the query.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
