,background,input,output,math,dp,implementation,greedy,data structures,sortings,combinatorics,dfs,graphs,trees,divide and conquer,constructive algorithms,brute force,strings,binary search,bitmasks,number theory,two pointers,dsu,geometry
2619,"You are given a description of a depot. It is a rectangular checkered field of n___ size. Each cell in a field can be empty (""."") or it can be occupied by a wall (""*""). You have one bomb. If you lay the bomb at the cell (x,_), then after triggering it will wipe out all walls in the row x and all walls in the column y. You are to determine if it is possible to wipe out all walls in the depot by placing and triggering exactly one bomb. The bomb can be laid both in an empty cell or in a cell occupied by a wall."," The first line contains two positive integers n and m (1___,___1000)   the number of rows and columns in the depot field. The next n lines contain m symbols ""."" and ""*"" each   the description of the field. j-th symbol in i-th of them stands for cell (i,_). If the symbol is equal to ""."", then the corresponding cell is empty, otherwise it equals ""*"" and the corresponding cell is occupied by a wall.","If it is impossible to wipe out all walls by placing and triggering exactly one bomb, then print ""NO"" in the first line (without quotes).",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2651,"Vasiliy likes to rest after a hard work, so you may often meet him in some bar nearby. As all programmers do, he loves the famous drink ""Beecola"", which can be bought in n different shops in the city. It's known that the price of one bottle in the shop i is equal to xi coins. Vasiliy plans to buy his favorite drink for q consecutive days. He knows, that on the i-th day he will be able to spent mi coins. Now, for each of the days he want to know in how many different shops he can buy a bottle of ""Beecola"".", The first line of the input contains a single integer n (1_____100000)   the number of shops in the city that sell Vasiliy's favourite drink. The second line contains n integers xi (1___i__100000)   prices of the bottles of the drink in the i-th shop. The third line contains a single integer q (1_____100000)   the number of days Vasiliy plans to buy the drink. Then follow q lines each containing one integer mi (1___i__109)   the number of coins Vasiliy can spent on the i-th day.,Print q integers. The i-th of them should be equal to the number of shops where Vasiliy will be able to buy a bottle of the drink on the i-th day.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3838,"In a far away kingdom young pages help to set the table for the King. As they are terribly mischievous, one needs to keep an eye on the control whether they have set everything correctly. This time the royal chef Gerasim had the impression that the pages have played a prank again: they had poured the juice from one cup to another. Now Gerasim wants to check his hypothesis. The good thing is that chef Gerasim always pour the same number of milliliters of juice to all cups in the royal kitchen. Having thoroughly measured the juice in each cup, Gerasim asked you to write a program that will determine from which cup juice was poured to which one; otherwise, the program should determine that this time the pages set the table diligently. To simplify your task we shall consider the cups to be bottomless so that the juice never overfills a cup and pours out, however much it can be. Besides, by some strange reason in a far away kingdom one can only pour to a cup or from one cup to another an integer number of milliliters of juice."," The first line contains integer n   the number of cups on the royal table (1_____1000). Next n lines contain volumes of juice in each cup   non-negative integers, not exceeding 104.","If the pages didn't pour the juice, print ""Exemplary pages."" (without the quotes). If you can determine the volume of juice poured during exactly one juice pouring, print ""v ml. from cup #a to cup #b."" (without the quotes), where v represents the volume of poured juice, a represents the number of the cup from which the juice was poured (the cups are numbered with consecutive positive integers starting from one in the order in which the cups are described in the input data), b represents the number of the cup into which the juice was poured. Finally, if the given juice's volumes cannot be obtained using no more than one pouring (for example, the pages poured the juice from one cup to another more than once or the royal kitchen maids poured the juice into the cups incorrectly), print ""Unrecoverable configuration."" (without the quotes).",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3263,"Soon the first year students will be initiated into students at the University of Berland. The organizers of the initiation come up with a program for this holiday. In their opinion, it would be good if the first-year students presented small souvenirs to each other. When they voiced this idea to the first-year students, they found out the following: some pairs of the new students already know each other; each new student agrees to give souvenirs only to those with whom they are already familiar; each new student does not want to present too many souvenirs. The organizers have written down all the pairs of first-year friends who are familiar with each other and now want to determine for each new student, whom they should give souvenirs to. In their opinion, in each pair of familiar students exactly one student must present a souvenir to another student. First year students already decided to call the unluckiest the one who will have to present the greatest number of souvenirs. The organizers in return promised that the unluckiest will be unlucky to the minimum possible degree: of course, they will have to present the greatest number of souvenirs compared to the other students, but this number will be as small as possible. Organizers are very busy, and they asked you to determine for each pair of first-year friends who and to whom should present a souvenir."," The first line contains two integers n and m (1_____5000, 0______in(5000,_·(n-1)/2))   the number of the first year students and the number of pairs of the students that know each other. The students are numbered from 1 to n. Each of the following m lines contains two integers xi,_i (1___i,_i___, xi___i)   the students in each pair. It is guaranteed that each pair is present in the list exactly once. It is also guaranteed that if there is a pair (xi,_i) in the list, then there is no pair (yi,_i).",Print a single integer into the first line   the smallest number of souvenirs that the unluckiest student will have to present.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3486,"You are given an undirected graph with n vertices. There are no edge-simple cycles with the even length in it. In other words, there are no cycles of even length that pass each edge at most once. Let's enumerate vertices from 1 to n. You have to answer q queries. Each query is described by a segment of vertices [l;_], and you have to count the number of its subsegments [x;_] (l_________), such that if we delete all vertices except the segment of vertices [x;_] (including x and y) and edges between them, the resulting graph is bipartite."," The first line contains two integers n and m (1_____3·105, 1_____3·105)   the number of vertices and the number of edges in the graph. The next m lines describe edges in the graph. The i-th of these lines contains two integers ai and bi (1___i,_i___; ai___i), denoting an edge between vertices ai and bi. It is guaranteed that this graph does not contain edge-simple cycles of even length. The next line contains a single integer q (1_____3·105)   the number of queries. The next q lines contain queries. The i-th of these lines contains two integers li and ri (1___i___i___)   the query parameters.","Print q numbers, each in new line: the i-th of them should be the number of subsegments [x;_] (li_________i), such that the graph that only includes vertices from segment [x;_] and edges between them is bipartite.",0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0
1913,"Fox Ciel is going to publish a paper on FOCS (Foxes Operated Computer Systems, pronounce: ""Fox""). She heard a rumor: the authors list on the paper is always sorted in the lexicographical order. After checking some examples, she found out that sometimes it wasn't true. On some papers authors' names weren't sorted in lexicographical order in normal sense. But it was always true that after some modification of the order of letters in alphabet, the order of authors becomes lexicographical! She wants to know, if there exists an order of letters in Latin alphabet such that the names on the paper she is submitting are following in the lexicographical order. If so, you should find out any such order. Lexicographical order is defined in following way. When we compare s and t, first we find the leftmost position with differing characters: si___i. If there is no such position (i. e. s is a prefix of t or vice versa) the shortest string is less. Otherwise, we compare characters si and ti according to their order in alphabet."," The first line contains an integer n (1_____100): number of names. Each of the following n lines contain one string namei (1__|namei|__100), the i-th name. Each name contains only lowercase Latin letters. All names are different.","If there exists such order of letters that the given names are sorted lexicographically, output any such order as a permutation of characters 'a''z' (i. e. first output the first letter of the modified alphabet, then the second, and so on).",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1879,"New Year is coming in Tree Island! In this island, as the name implies, there are n cities connected by n-1 roads, and for any two distinct cities there always exists exactly one path between them. For every person in Tree Island, it takes exactly one minute to pass by exactly one road. There is a weird New Year tradition for runnners in Tree Island, which is called ""extreme run"". This tradition can be done as follows. A runner chooses two distinct cities a and b. For simplicity, let's denote the shortest path from city a to city b as p1,_2,...,_l (here, p1=_ and pl=_ holds). Then following happens: The runner starts at city a. The runner runs from city a to b, following the shortest path from city a to city b. When the runner arrives at city b, he turns his direction immediately (it takes no time), and runs towards city a, following the shortest path from city b to city a. When the runner arrives at city a, he turns his direction immediately (it takes no time), and runs towards city b, following the shortest path from city a to city b. Repeat step 3 and step 4 forever. In short, the course of the runner can be denoted as: Two runners JH and JY decided to run ""extremely"" in order to celebrate the New Year. JH has chosen two cities u and v, and JY has chosen two cities x and y. They decided to start running at the same moment, and run until they meet at the same city for the first time. Meeting on a road doesn't matter for them. Before running, they want to know the amount of time they will run. It is too hard for JH and JY to calculate this, so they ask you for help."," The first line contains a single positive integer n (5_____2__105)   the number of cities in Tree Island. Next n-1 lines describe the roads of Tree Island. The i-th line (1______-1) of them contains two space-separated integers ai and bi (1___i,_i___,_i___i)   the vertices connected by a single road of the tree. The next line contains an integer t (1_____2__105)   the number of test cases. Next t lines describes the test cases. The j-th line (1______) of them contains four space-separated integers uj,_j,_j,_j (1___j,_j,_j,_j___,_j___j,_j___j). It means that in this test case, JH has chosen two cities uj and vj, JY has chosen two cities xj and yj. JH starts running at city uj, and JY starts running at city xj.","For each test case, print an integer describing the amount of time they should run in minutes. If they have to run for an infinitely long time (in other words, if they never meet at the same city), print -1 instead. If they meet at the beginning of their run, print 0.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1852,"Vasya decided to learn to play chess. Classic chess doesn't seem interesting to him, so he plays his own sort of chess. The queen is the piece that captures all squares on its vertical, horizontal and diagonal lines. If the cell is located on the same vertical, horizontal or diagonal line with queen, and the cell contains a piece of the enemy color, the queen is able to move to this square. After that the enemy's piece is removed from the board. The queen cannot move to a cell containing an enemy piece if there is some other piece between it and the queen. There is an n___ chessboard. We'll denote a cell on the intersection of the r-th row and c-th column as (r,_). The square (1,1) contains the white queen and the square (1,_) contains the black queen. All other squares contain green pawns that don't belong to anyone. The players move in turns. The player that moves first plays for the white queen, his opponent plays for the black queen. On each move the player has to capture some piece with his queen (that is, move to a square that contains either a green pawn or the enemy queen). The player loses if either he cannot capture any piece during his move or the opponent took his queen during the previous move. Help Vasya determine who wins if both players play with an optimal strategy on the board n___.", The input contains a single number n (2_____109)   the size of the board.,"On the first line print the answer to problem   string ""white"" or string ""black"", depending on who wins if the both players play optimally.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3308,"It is Borya's eleventh birthday, and he has got a great present: n cards with numbers. The i-th card has the number ai written on it. Borya wants to put his cards in a row to get one greater number. For example, if Borya has cards with numbers 1, 31, and 12, and he puts them in a row in this order, he would get a number 13112. He is only 11, but he already knows that there are n! ways to put his cards in a row. But today is a special day, so he is only interested in such ways that the resulting big number is divisible by eleven. So, the way from the previous paragraph is good, because 13112=1192__11, but if he puts the cards in the following order: 31, 1, 12, he would get a number 31112, it is not divisible by 11, so this way is not good for Borya. Help Borya to find out how many good ways to put the cards are there. Borya considers all cards different, even if some of them contain the same number. For example, if Borya has two cards with 1 on it, there are two good ways. Help Borya, find the number of good ways to put the cards. This number can be large, so output it modulo 998244353.",  data contains multiple test cases. The first line of the input data contains an integer t   the number of test cases (1_____100). The descriptions of test cases follow. Each test is described by two lines. The first line contains an integer n (1_____2000)   the number of cards in Borya's present. The second line contains n integers ai (1___i__109)   numbers written on the cards. It is guaranteed that the total number of cards in all tests of one input data doesn't exceed 2000.,"For each test case output one line: the number of ways to put the cards to the table so that the resulting big number was divisible by 11, print the number modulo 998244353.",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2830,"Eugeny has n cards, each of them has exactly one integer written on it. Eugeny wants to exchange some cards with Nikolay so that the number of even integers on his cards would equal the number of odd integers, and that all these numbers would be distinct. Nikolay has m cards, distinct numbers from 1 to m are written on them, one per card. It means that Nikolay has exactly one card with number 1, exactly one card with number 2 and so on. A single exchange is a process in which Eugeny gives one card to Nikolay and takes another one from those Nikolay has. Your task is to find the minimum number of card exchanges and determine which cards Eugeny should exchange."," The first line contains two integers n and m (2_____2·105, 1_____109)   the number of cards Eugeny has and the number of cards Nikolay has. It is guaranteed that n is even. The second line contains a sequence of n positive integers a1,_2,...,_n (1___i__109)   the numbers on Eugeny's cards.","If there is no answer, print -1.",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2243,"You have a rectangular chocolate bar consisting of n___ single squares. You want to eat exactly k squares, so you may need to break the chocolate bar. In one move you can break any single rectangular piece of chocolate in two rectangular pieces. You can break only by lines between squares: horizontally or vertically. The cost of breaking is equal to square of the break length. For example, if you have a chocolate bar consisting of 2__3 unit squares then you can break it horizontally and get two 1__3 pieces (the cost of such breaking is 32=9), or you can break it vertically in two ways and get two pieces: 2__1 and 2__2 (the cost of such breaking is 22=4). For several given values n, m and k find the minimum total cost of breaking. You can eat exactly k squares of chocolate if after all operations of breaking there is a set of rectangular pieces of chocolate with the total size equal to k squares. The remaining n·m-_ squares are not necessarily form a single rectangular piece."," The first line of the input contains a single integer t (1_____40910)   the number of values n, m and k to process. Each of the next t lines contains three integers n, m and k (1___,___30,1______in(n·m,50))   the dimensions of the chocolate bar and the number of squares you want to eat respectively.","For each n, m and k print the minimum total cost needed to break the chocolate bar, in order to make it possible to eat exactly k squares.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1410,"Dima and Inna are doing so great! At the moment, Inna is sitting on the magic lawn playing with a pink pony. Dima wanted to play too. He brought an n___ chessboard, a very tasty candy and two numbers a and b. Dima put the chessboard in front of Inna and placed the candy in position (i,_) on the board. The boy said he would give the candy if it reaches one of the corner cells of the board. He's got one more condition. There can only be actions of the following types: move the candy from position (x,_) on the board to position (x-_,_-_); move the candy from position (x,_) on the board to position (x+_,_-_); move the candy from position (x,_) on the board to position (x-_,_+_); move the candy from position (x,_) on the board to position (x+_,_+_). Naturally, Dima doesn't allow to move the candy beyond the chessboard borders. Inna and the pony started shifting the candy around the board. They wonder what is the minimum number of allowed actions that they need to perform to move the candy from the initial position (i,_) to one of the chessboard corners. Help them cope with the task!"," The first line of the input contains six integers n,_,_,_,_,_ (1___,___106; 1______; 1______; 1___,___106). You can assume that the chessboard rows are numbered from 1 to n from top to bottom and the columns are numbered from 1 to m from left to right. Position (i,_) in the statement is a chessboard cell on the intersection of the i-th row and the j-th column. You can consider that the corners are: (1,_), (n,1), (n,_), (1,1).",In a single line print a single integer   the minimum number of moves needed to get the candy.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638,"Devu is a renowned classical singer. He is invited to many big functions/festivals. Recently he was invited to ""All World Classical Singing Festival"". Other than Devu, comedian Churu was also invited. Devu has provided organizers a list of the songs and required time for singing them. He will sing n songs, ith song will take ti minutes exactly. The Comedian, Churu will crack jokes. All his jokes are of 5 minutes exactly. People have mainly come to listen Devu. But you know that he needs rest of 10 minutes after each song. On the other hand, Churu being a very active person, doesn't need any rest. You as one of the organizers should make an optimal shedule for the event. For some reasons you must follow the conditions: The duration of the event must be no more than d minutes; Devu must complete all his songs; With satisfying the two previous conditions the number of jokes cracked by Churu should be as many as possible. If it is not possible to find a way to conduct all the songs of the Devu, output -1. Otherwise find out maximum number of jokes that Churu can crack in the grand event."," The first line contains two space separated integers n, d (1_____100; 1_____10000). The second line contains n space-separated integers: t1,_2,...,_n (1___i__100).","If there is no way to conduct all the songs of Devu, output -1. Otherwise output the maximum number of jokes that Churu can crack in the grand event.",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
