BID,Plot,math,constructive algorithm,search,brute force,geometry,string,data structures,sortings,dp
1003/E,given task construct undirected tree vertex diameter degree vertex say impossible undirected tree connected undirected graph edge diameter tree maximum length simple path path vertex appears pair vertex tree degree vertex edge incident vertex vertex edge belong tree vertex tree input tree satisfying condition print word without quote,0,1,0,0,0,0,1,0,0
1003/F,given text consisting space separated word exactly space character pair adjacent word space word space last word length text letter space word text word consist lowercase latin letter let denote segment word sequence word segment word considered equal every example text segment equal correspond word abbreviation replacement segment word uppercase letter order perform abbreviation choose least non intersecting equal segment word replace chosen segment string consisting letter word segment written uppercase example text replace segment word abbreviation aaa obtain text aaa aaa replace segment word abbreviation aaab obtain text aaab aaab minimum length text abbreviation input word text next space separated word text word consists lowercase latin letter guaranteed length text doe exceed print minimum length text abbreviation,0,0,0,0,0,1,0,0,1
1004/A,sonya decided hotel business best way earning money profit rest wherever want country sonya life endless city coordinate hotel hotel located city coordinate sonya smart girl doe open hotel city sonya understands business need expanded opening new hotel decides build want make minimum distance hotel others equal girl understands many possible location construct hotel thus want know possible coordinate city build new hotel sonya lounging jacuzzi hotel asking find city build new hotel minimum distance original hotel new equal sonya hotel needed minimum distance new hotel others second different strictly increasing order coordinate sonya hotel print city sonya build new hotel minimum distance hotel others equal,0,0,0,0,0,0,0,0,0
1004/B,sonya decided organize exhibition flower since girl like rose lily decided kind flower exhibition flower row exhibition sonya put either rose lily position thus position exactly flower rose lily know exactly people visit exhibition visitor visit flower inclusive girl know segment beauty equal product rose lily sonya want exhibition liked lot people want put flower way sum beauty segment would maximum possible flower visitor respectively next meaning visitor visit flower inclusive print string character symbol want put rose position otherwise want put lily,1,1,0,0,0,0,0,1,0
1004/C,since sonya interested robotics decided construct robot read recognize sonya drawn row located position put robot end row left right last sonya give robot either different run robot running moving toward another robot reading row robot reading equal given robot turn stay position sonya doe want robot break give robot stop meet girl want stop different position robot left second example written sonya give robot second robot stop position second position case robot meet result robot broken sonya give robot second meet since robot stop position second position sonya understands doe make sense give written row robot find meet robot sonya interested finding different pair give robot meet word want know pair give robot second pair different unfortunately sonya busy fixing robot broke failed launch asking find pair give robot meet single row second row print possible pair sonya give robot meet,0,1,0,0,0,0,0,0,0
1004/D,since sonya learned basic matrix decided play little bit sonya imagined new type matrix called rhombic matrix matrix exactly cell manhattan distance cell containing cell equal form rhombus sonya called type manhattan distance cell defined example manhattan distance cell equal example rhombic matrix note rhombic matrix uniquely defined coordinate cell containing drew rhombic matrix belief recreate matrix give element matrix arbitrary order sequence note sonya give sequence matrix disposal write program find rhombic matrix whose element element sequence order single cell matrix second value cell arbitrary order print positive size matrix,0,1,0,1,0,0,0,0,0
1004/E,sonya like ice cream much eats even programming competition girl decided want open ice cream shop sonya life city junction street street way connect junction possible travel junction using street city hall allows opening shop junction girl open shop middle street sonya exactly friend trust open shop friend work allow anybody eat ice cream paying since sonya doe want skip important competition work shop personally sonya want ice cream shop form simple path length located different junction street girl take care potential buyer want minimize maximum distance junction nearest ice cream shop distance junction equal sum street length need pa get junction junction sonya want minimize max min maxamin rda take value possible junction junction sonya shop located distance junction sonya sure find optimal shop location asking help open shop form simple path maximum distance junction nearest shop would minimal junction friend respectively next junction connected street length street guaranteed pair junction connected street guaranteed get junction print minimal possible maximum distance need pa get junction nearest ice cream shop sonya shop must form simple path shop must,0,0,1,0,0,0,1,1,1
1004/F,sonya array consisting non negative perform query type replace element value perform operation find pair bitwise range least note constant query help sonya perform query bitwise binary operation pair non negative calculate bitwise need write binary notation result binary digit binary notation least example query constant query second array following describe query following format meaning replace meaning find subarrays segment bitwise least query type print subarrays bitwise range least,0,0,0,0,0,0,1,0,0
1005/A,little girl tanya climb stair inside multi storey building every time tanya climb stairway start counting step step stairway speaks every aloud example climb stairway step second step pronounce given pronounced tanya many stairway climb output step stairway given sequence valid sequence tanya could pronounced climbing stairway total pronounced tanya second tanya pronounced climbing stair order last pronounced passing stairway step pronounce order given sequence valid sequence tanya could pronounced climbing stairway output stairway tanya climbed second output step stairway climbed write correct order passage stairway,0,0,0,0,0,0,0,0,0
1005/B,given string single move choose string delete leftmost character move length string decrease choose string empty example applying move string result string applying move string result empty string required make given string equal using fewest move possible end string equal empty string equal case answer obviously sum length initial string write program find minimum move make given string equal input second input string consist lowercase latin letter letter string inclusive output fewest move required possible end string equal empty string equal case answer obviously sum length given string,0,0,0,1,0,1,0,0,0
1005/C,sequence called good element exists element power non negative example following sequence good example choose note sum power similarly element found note definition empty sequence length good example following sequence good impossible find another element sum power impossible find another element sum power impossible find another element sum power given sequence minimum element need remove make good delete arbitrary set element length given sequence second sequence print minimum element needed removed given sequence order make good possible need delete element make empty thus get good sequence,0,0,0,1,0,0,0,1,0
1005/D,polycarp like divisible huge polycarp want cut maximum divisible make arbitrary vertical cut pair adjacent digit result cut part total polycarp analyzes obtained find divisible example original polycarp cut part cut result get divisible polycarp make arbitrary vertical cut cut made pair adjacent digit resulting extra leading begin exactly character example valid valid maximum divisible polycarp obtain input positive digit inclusive leftmost digit equal print maximum divisible polycarp get making vertical cut given,1,0,0,0,0,0,0,1,1
1005/E1,given permutation permutation length sequence occurs exactly sequence find pair index value median exactly given median sequence value element middle sequence sorting non decreasing order length sequence even left middle element used example median since sorting sequence look like left middle element equal median equal since sorting value middle sequence write program find pair index value median exactly given length given sequence required value median second permutation occurs exactly print required,0,0,0,0,0,0,0,1,0
1005/E2,given sequence find pair index value median exactly given median sequence value element middle sequence sorting non decreasing order length sequence even left middle element used example median since sorting sequence look like left middle element equal median equal since sorting value middle sequence write program find pair index value median exactly given length given sequence required value median second sequence print required,0,0,0,0,0,0,0,1,0
1005/F,city berland pair city connected road road bidirectional road connects different city road pair city city numbered known capital city reach city moving along road president berland plan improve country road network budget enough repair exactly road president plan choose set road possible travel capital city along chosen road road needed travel capital city moving along chosen road minimized minimal possible word set road preserve connectivity country sum distance city city minimized use chosen road president instructed ministry prepare possible option choose road condition met write program find possible way choose road repair fewer way program output possible valid way choose road input city country road option choose set road repair guaranteed following describe road road per city road connects road pair city given set road reach city capital print way choose set road repair recall need find different option fewer need find possible different valid option,0,0,0,1,0,0,1,0,0
1006/A,mishka got array length birthday present surprise mishka like present want change somehow invented algorithm called mishka adjacent replacement algorithm algorithm represented sequence step replace occurrence array replace occurrence array replace occurrence array replace occurrence array replace occurrence array replace occurrence array replace occurrence array replace occurrence array note dot middle algorithm mean mishka applies replacement pair adjacent described example array following sequence array represents algorithm replace occurrence replace occurrence replace occurrence replace occurrence replace occurrence replace occurrence replace occurrence later step algorithm change array mishka lazy want apply change interested result help find input element mishka birthday present surprisingly array second input element array print final value element array applying mishka adjacent replacement algorithm array note change order element array,0,0,0,0,0,0,0,0,0
1006/B,polycarp practicing problem solving skill list problem difficulty respectively plan practice exactly day day solve least problem list polycarp solves problem order given list skip problem list solve problem exactly day thus day polycarp solves contiguous sequence consecutive problem start list skip problem solve multiple time result day solve problem profit day polycarp practice maximum difficulty problem polycarp solves day solves problem index day profit day max max total profit practice sum profit day practice want help polycarp get maximum possible total profit valid way solve problem task distribute problem day satisfying condition way total profit maximum example possible distribution maximum total profit total profit equal input problem day respectively second input difficulty problem polycarp list order placed list order polycarp solve output print maximum possible total profit,0,0,0,0,0,0,0,1,0
1006/C,given array consisting task split array part empty way element array belongs exactly part part form consecutive contiguous subsegment possibly empty original array let sum element part sum element second part sum element third part possible way split array choose way maximum possible formally part array element second part array element third part element sum adi sum bdi sum cdi sum empty array task find way split array maximum possible input element array second input element array print single maximum possible value considering condition must met,0,0,1,0,0,0,1,0,0
1006/D,given string consisting lowercase english letter length character string index inclusive allowed following change choose index swap character choose index swap character choose index swap character note odd formally allowed swap string move useless swap equal character operation useless well make string equal applying change described order obvious impossible make string equal swap preprocess move replace character another character word single preprocess move choose index character set task find minimum preprocess move apply way make string equal applying change described list note change make preprocess move doe matter note apply preprocess move string make preprocess move change made input length string second string consisting exactly lowercase english letter third string consisting exactly lowercase english letter print single minimum preprocess move apply change possible make string equal string sequence change list,0,0,0,0,0,0,0,0,0
1006/E,problem help berland army organizing command delivery system officer berland army officer commander army doe superior every officer exactly direct superior officer direct superior officer say officer direct subordinate officer officer considered subordinate direct indirect officer following condition hold officer direct superior officer direct superior officer subordinate officer example picture subordinate officer structure berland army organized way every officer except commander subordinate commander army formally let represent berland army tree consisting vertex vertex corresponds officer parent vertex corresponds direct superior officer root index corresponds commander army berland war ministry ordered give answer query query given officer positive process query imagine command spread subordinate typical dfs depth search algorithm used suppose current officer spread command officer chooses direct subordinate child tree received command many direct subordinate chooses minimal index officer give command officer afterwards exactly algorithm spread command subtree finish spreading command officer chooses next direct subordinate using strategy officer choose direct subordinate still received command officer finish spreading command let look following example officer spread command officer receive following order officer spread command officer receive following order officer spread command officer receive following order officer spread command officer receive following order answer query construct sequence describes order officer receive command officer spread return element constructed list fewer element process query independently query affect following query input officer berland army query second input index direct superior officer index commander index superior next describe query query given pair index officer start spreading command index required officer command spreading sequence print officer position list describes order officer receive command start spreading officer print officer receive command,0,0,0,0,0,0,1,0,0
1006/F,rectangular grid size cell written cell task calculate path upper left cell bottom right cell meeting following constraint move right bottom formally cell move cell cell target cell outside grid xor path cell cell must equal xor operation bitwise exclusive represented java xor pascal find path given grid input height width grid next element print path xor sum equal,0,0,0,1,0,0,0,0,1
1007/A,given array vasya permute change order want many possible become place smaller used stand help vasya find maximal instance given array permute becomes second position became larger third fourth permutation vasya want maximize equal read note example demonstrative test case help vasya permute way position new array greater original maximal single length array second element array print single maximal array element permutation stand position smaller element stood initial array,1,0,1,0,0,0,1,1,0
1007/B,given rectangular parallelepiped side positive length find different group parallelepiped paved parallelepiped note small parallelepiped rotated direction example parallelepiped divided parallelepiped divided parallelepiped single test case next size parallelepiped test case print different group point satisfy given condition,1,0,0,1,0,0,0,0,0
1007/C,interactive problem vasya vitya play game vasya thought vitya try guess round tell vasya vitya win else vasya must say phrase greater greater vasya lie multiple phrase true choose example vasya thought answer phrase query answer phrase phrase query help vitya win round single upper limit need read make query,0,0,1,0,0,0,0,0,0
1007/D,tree vertex ant living ant color ant favorite pair vertex need tell possible paint edge tree color every ant able walk vertex favorite pair using edge color possible need print pair every ant use single vertex next meaning edge vertex next single ant next meaning pair favorite ant print without quote wanted painting impossible,0,0,0,0,0,0,1,0,0
1007/E,simplified version mini metro game subway train direction station people waiting train station beginning game game start beginning hour end hour couple minute end hour people instantly arrive station moment people station larger lose player several train appoint hour capacity train passenger middle appointed hour train station taking many people station accommodate train take people station people station multiple train appointed hour capacity added moving together player want stay game hour determine minimum train need station hour want survive capacity train respectively next people station beginning game people arriving station end hour maximum people station allowed respectively output single answer problem,0,0,0,0,0,0,0,0,1
1008/A,vitya started learning berlanese language known berlanese latin alphabet vowel letter letter consonant berlanese vowel every consonant letter vowel exception consonant letter letter vowel letter example word harakiri yupie man nbo berlanese word horse king help vitya find word berlanese input string consisting lowercase latin letter print yes without quote vowel every consonant except otherwise print,0,0,0,0,0,1,0,0,0
1008/B,rectangle row either turn rectangle degree leave turn rectangle width height height width notice turn rectangle turn none change order rectangle find way make rectangle order non ascending height word turn height every rectangle greater height previous rectangle single rectangle next width height rectangle print yes without quote way make rectangle order non ascending height otherwise print,0,0,0,0,0,0,0,1,0
1009/A,maxim want buy game local game shop game shop game cost maxim wallet represented array wallet bill bill value game shop ordered left right maxim try buy every game order maxim stand position shop take bill wallet wallet empty proceeds next position immediately try buy game using bill maxim tried buy game leaf shop maxim buy game value bill take wallet greater equal cost game successfully buy game bill wallet disappears next bill becomes otherwise maxim leaf bill wallet bill still remains proceeds next game example array array following process take place maxim buy game using bill value bill disappears second bill value becomes maxim wallet maxim buy second game third game buy fourth game using bill value third bill becomes maxim wallet buy fifth game using bill value task get game maxim buy input game bill maxim wallet second input cost game third input value bill maxim wallet print single game maxim buy,0,0,0,0,0,0,0,0,0
1009/B,given ternary string string consists character swap adjacent consecutive character replace vice versa adjacent consecutive character replace vice versa example string perform following move note swap vice versa perform operation given string excluding described task obtain minimum possible lexicographically string using swap arbitrary time possibly string lexicographically string string length exists position length string every hold input string consisting character length inclusive print single string minimum possible lexicographically string obtain using swap described arbitrary time possibly,0,0,0,0,0,0,0,1,0
1009/C,alice got array length birthday present third year row disappointing overwhelmengly boring filled entirely bob decided apply change array cheer alice bob chosen change following form chooses arbitrary position every add dist value cell dist distance position dist absolute value example alice currently array bob chooses position array become note bob choose position outside array smaller greater alice happiest element array big possible bob claimed arithmetic mean value element work fine metric maximum arithmetic mean value bob achieve element array change next parameter change print maximal average arithmetic mean element bob achieve,1,0,0,0,0,0,0,1,0
1009/D,let call undirected graph relatively prime edge gcd greatest common divisor edge pair vertex value gcd matter vertex numbered construct relatively prime graph vertex edge connected neither self loop multiple edge exists valid graph given vertex edge output impossible multiple answer print vertex edge exists valid graph given vertex edge output impossible,1,1,0,1,0,0,1,1,0
1009/E,leha planning journey moscow saratov hate train decided get city another car path moscow saratov represented straight well straight reality problem consider straight distance moscow saratov let say moscow situated point coordinate saratov coordinate driving long time really difficult formally leha already covered kilometer since stopped rest considers difficulty covering kilometer guaranteed every difficulty journey denoted sum difficulty kilometer journey fortunately rest site moscow saratov every point rest site leha enters rest site rest next kilometer difficulty kilometer difficulty example rest site coordinate difficulty journey kilometer difficulty second leha rest third kilometer difficulty fourth last another example rest site coordinate difficulty leha journey leha know point rest site consider every possible situation obviously different distribution rest site distribution different exists point rest site exactly distribution leha considers distribution equiprobable want calculate expected value difficulty journey obviously calculate modulo distance moscow saratov second difficulty kilometer leha rested print taken modulo,1,0,0,0,0,0,0,0,0
1009/F,given rooted undirected tree consisting vertex vertex root let denote depth array vertex infinite sequence vertex condition hold ancestor simple path traverse exactly edge dominant index depth array vertex shortly dominant index vertex index every every every vertex tree calculate dominant index vertex tree follow containing denotes edge tree guaranteed edge form tree output equal dominant index vertex,0,0,0,0,0,0,1,0,0
1009/G,polycarp launched new startup idea niche pretty free key vector development sound really promising easily found investor ready sponsor company name startup actually polycarp already came name improvement never hurt want swap letter position obtain better name necessary letter adjacent addition investor chosen index name selected set letter index chosen different investor pairwise distinct index chosen investor letter finally polycarp sure smallest lexicographically name best like think google decided become alphabet formally given string consisting lowercase latin letter swap letter position arbitrary time swap possible smallest lexicographically name obtain letter every position allowed letter polycarp produce valid name print impossible string name polycarp came string consists lowercase latin letter second single investor next non empty string allowed character string pairwise distinct letter pairwise distinct position string appear investor demand letter position polycarp produce valid name print impossible,0,0,0,0,0,0,1,1,0
101/E,little gerald coach mike play interesting game beginning game pile consisting candy pile consisting stone gerald mike move turn mike move mike check many candy stone gerald eaten let gerald eat candy stone mike award gerald prize point gerald move either eats candy pile candy stone pile stone mike see gerald eaten everything apart candy stone award point last time game end gerald allowed eat candy allowed eat stone tell gerald play get largest possible point required find possible optimal playing strategy gerald second third value calculated remainder division sum print maximal point gerald earn print second sting consisting character either character gerald move eating candy eat stone,0,0,0,0,0,0,0,0,1
1010/A,natasha going fly rocket mar return earth way mar land intermediate planet formally planet earth mar natasha make exactly flight flight consists phase take planet landing planet way overall itinerary trip planet take planet landing planet planet take planet landing planet planet take planet landing planet planet mass rocket together useful cargo without fuel ton natasha doe know much fuel load rocket unfortunately fuel loaded earth rocket run fuel planet natasha able return home fuel needed take planet land planet known ton fuel lift ton rocket planet land ton rocket onto planet example weight rocket ton weight fuel ton take coefficient ton fuel burnt since new weight fuel take ton please note allowed burn non integral amount fuel take landing amount initial fuel non integral well help natasha calculate minimum mass fuel load rocket note rocket must spend fuel carry useful cargo fuel need carry fuel already burnt assume rocket take land instantly single planet second weight payload third ton lifted ton fuel fourth ton landed ton fuel guaranteed natasha make flight take ton fuel natasha fly mar planet return earth print minimum mass fuel ton natasha take otherwise print single,1,0,1,0,0,0,0,0,0
1010/B,interactive problem natasha going fly mar finally natasha sat rocket fly fly get bored wish arrive mar already decides find something occupy think anything better calculate distance red planet let define distance mar unfortunately natasha doe know known natasha know besides positive natasha ask rocket question every question correct answer question rocket broken doe always answer correctly precisely let correct answer current question equal rocket answer question correctly answer otherwise answer addition rocket sequence length element sequence either rocket process sequence cyclic order element current element rocket answer correctly lie natasha know sequence know length ask rocket question help natasha find distance mar assume distance mar doe change natasha asking question solution accepted doe receive answer rocket even distance mar uniquely determined already received rocket answer maximum distance mar element sequence ask rocket question,0,0,1,0,0,0,0,0,0
1010/C,astronaut natasha arrived mar know martian poor alien ensure better life mar citizen emperor decided take tax every tourist visited planet natasha inhabitant earth therefore pay tax enter territory mar banknote denomination mar value banknote natasha infinite banknote denomination martian finger hand use system base addition martian consider digit system base divine thus last digit natasha tax amount written system base martian happy unfortunately natasha doe know martian divine digit determine value natasha make martian happy natasha use banknote martian give change denomination banknote base system mar second denomination banknote mar given decimal notation output value natasha make martian happy,1,0,0,0,0,0,0,0,0
1010/D,natasha travel around mar mar rover suddenly broke namely logical scheme inside scheme undirected tree connected acyclic graph root vertex every leaf excluding root input vertex logical element including root output bit fed input bit returned output type logical element input input xor input input logical element take value direct descendant input return result function perform natasha know logical scheme mar rover well fact input broken order fix mar rover need change value input input determine output natasha change input single vertex graph input element next description vertex word xor mean input scheme vertex type vertex value input follows otherwise follow index input vertex element xor input whereas input vertex numbered guaranteed input data correct logical scheme output produced vertex print string character without quote answer problem input ascending order vertex index,0,0,0,0,0,0,1,0,0
1010/E,natasha already going fly back earth remembered need martian store buy martian souvenir friend known martian year last max month month last max day day last max second natasha know store work according following schedule month year selected max day month max second day max store work moment month day second simultaneously unfortunately natasha doe know martian told natasha went store time time opened time closed described every trip store month day second trip whether store open closed moment natasha store time determine whether store time trip open closed information unknown max max max max max max month year day month second day time store according martian opened closed natasha query next max max max month day second time store according martian opened next max max max month day second time store according martian closed next max max max month day second natasha query martian mistaken information store open closed inconsistent print single incorrect without quote,0,0,0,0,0,0,1,0,0
1010/F,main martian tree grows mar binary tree rooted tree son vertex vertex root vertex fruit main martian fruit summer tree doe fruit autumn coming soon leaf branch begin fall tree clear vertex fall tree entire subtree fall addition root remain tree formally tree connected subset vertex containing root fruit grow tree vertex remain exactly fruit grow root fruit remaining vertex sum fruit remaining son vertex allowed vertex fruit natasha wondered many tree configuration described change since large output modulo configuration resulting tree considered different condition true different subset remaining vertex subset remaining vertex vertex subset different amount fruit size tree fruit root following vertex connected edge tree guaranteed input data describes correct binary tree root vertex print configuration resulting tree modulo,0,0,0,0,0,0,1,0,0
1011/A,natasha going fly mar need build rocket consists several stage order stage defined lowercase latin letter way rocket described string concatenation letter correspond stage stage available rocket must exactly stage rocket ordered weight stage letter stage letter least position alphabet skipping letter even example letter letter letter rocket fly far possible weight minimal weight rocket equal sum weight stage weight stage letter alphabet example stage weighs ton weighs ton ton build rocket minimal weight determine impossible build rocket stage used input available stage stage use rocket second string consists exactly lowercase latin letter letter defines new stage used build rocket stage used print single minimal total weight rocket impossible build rocket,0,0,0,0,0,0,0,1,0
1011/B,natasha planning expedition mar people important task provide food participant warehouse daily food package package food type participant must eat exactly food package day due extreme load participant must eat food type throughout expedition different participant eat different type food formally participant natasha select food type day participant eat food package type value different participant different maximum possible day expedition last following requirement expedition participant daily food package available second sequence type food package print single day expedition last possible plan expedition even day print,0,0,1,1,0,0,0,0,0
1012/A,pavel made photo favourite star sky camera take photo point sky belong rectangle side parallel coordinate strictly speaking make photo point coordinate coordinate left bottom right top corner rectangle photographed area rectangle taking photo pavel wrote coordinate favourite star appeared photo point necessarily distinct multiple star point sky pavel lost camera recently want buy similar specifically want know dimension photo took earlier unfortunately photo lost note much help written random order notepad impossible tell specify coordinate point pavel asked help determine possible dimension photo according note multiple possible answer find dimension minimal possible area rectangle input point pavel record second coordinate written pavel order print minimal area rectangle could contained point pavel record,1,0,0,1,0,0,0,1,0
1012/B,innopolis university scientist continue investigate periodic table known element form periodic table rectangle row column element described coordinate table recently scientist discovered every different element table form rectangle side parallel side table sample element produce sample fourth element using nuclear fusion element position produce element sample used fusion wasted used future fusion newly crafted element used future fusion innopolis university scientist already sample element want obtain sample element achieve purchase sample laboratory produce remaining element using arbitrary nuclear fusion order help find minimal element need purchase min chemical table dimension element scientist already following describes element scientist already element input different print minimal element purchased,0,1,0,0,0,0,1,0,0
1012/C,welcome innopolis city throughout whole year innopolis citizen suffer everlasting city construction window room see sequence hill height innopolis administration want build house hill sake city appearance house built hill strictly higher neighbouring hill present example sequence height house could built hill height innopolis administration excavator decrease height arbitrary hill hour excavator work hill time allowed decrease hill height even negative value increasing height hill impossible city administration want build house must least hill satisfy condition minimum time required adjust hill achieve administration plan exact value determined could please calculate answer range denotes divided rounded input hill sequence second height hill sequence print exactly separated space printed equal minimum hour required level hill becomes possible build house,0,0,0,0,0,0,0,0,1
1012/D,string consisting letter make following operation several time choose prefix prefix swap prefix empty prefix coincide whole string task find sequence operation string consists letter consists letter operation minimized string second string denote length respectively guaranteed least string least letter least string least letter single operation,0,1,0,0,0,1,0,0,0
1012/E,given array positive perform following operation time select several distinct index move standing position position position position position position word operation cyclically shift element example array choose index resulting array would become goal make array sorted non decreasing order minimum operation additional constraint sum cycle length operation equal impossible sort array satisfying constraint solution report well input element array upper bound sum cycle length next element array impossible sort array using cycle total length exceeding print single quote clarity,1,0,0,0,0,0,1,0,0
