,Unnamed: 0,BID,Plot,math,dp,implementation,greedy,data structures,sortings,dfs,graphs,trees,constructive algorithms,brute force,strings,binary search,number theory,geometry
20,20,1004/E,sonya like ice cream much eats even programming competition girl decided want open ice cream shop sonya life city junction street street way connect junction possible travel junction using street city hall allows opening shop junction girl open shop middle street sonya ha exactly friend trust open shop friend ha work allow anybody eat ice cream paying since sonya doe want skip important competition work shop personally sonya want ice cream shop form simple path length located different junction street girl take care potential buyer want minimize maximum distance junction nearest ice cream shop distance junction equal sum street length need pas get junction junction sonya want minimize max min maxamin da take value possible junction junction sonya shop located distance junction sonya sure find optimal shop location asking help open shop form simple path maximum distance junction nearest shop would minimal contains junction friend respectively next contains junction connected street length street guaranteed pair junction connected street guaranteed get junction print minimal possible maximum distance need pas get junction nearest ice cream shop sonya shop must form simple path shop must,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0
21,21,1004/F,sonya ha array consisting non negative ha perform query type replace element value perform operation find pair l bitwise range least note constant query help sonya perform query bitwise binary operation pair non negative calculate bitwise need write binary notation result binary contains digit binary notation least example contains query constant query second contains array following describe query ha following format meaning replace meaning find subarrays segment bitwise least query type print subarrays bitwise range least,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,22,1005/A,little girl tanya climb stair inside multi storey building every time tanya climb stairway start counting step step stairway speaks every aloud example climb stairway contains step second contains step pronounce given pronounced tanya many stairway climb output step stairway given sequence valid sequence tanya could pronounced climbing stairway contains total pronounced tanya second contains tanya pronounced climbing stair order last pronounced passing stairway step pronounce order given sequence valid sequence tanya could pronounced climbing stairway output stairway tanya climbed second output step stairway climbed write correct order passage stairway,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,23,1005/B,given string single move choose string delete leftmost character move length string decrease choose string empty example applying move string result string applying move string result empty string required make given string equal using fewest move possible end string equal empty string equal case answer obviously sum length initial string write program find minimum move make given string equal input contains second input contains string consist lowercase latin letter letter string inclusive output fewest move required possible end string equal empty string equal case answer obviously sum length given string,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
24,24,1005/C,sequence called good element exists element power non negative example following sequence good example choose note sum power similarly element found note definition empty sequence length good example following sequence good impossible find another element sum power impossible find another element sum power impossible find another element sum power given sequence minimum element need remove make good delete arbitrary set element contains length given sequence second contains sequence print minimum element needed removed given sequence order make good possible need delete element make empty thus get good sequence,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
25,25,1005/D,polycarp like divisible ha huge polycarp want cut maximum divisible make arbitrary vertical cut pair adjacent digit result cut part total polycarp analyzes obtained find divisible example original polycarp cut part cut result get divisible polycarp make arbitrary vertical cut cut made pair adjacent digit resulting extra leading begin exactly character example valid valid maximum divisible polycarp obtain input contains positive digit inclusive leftmost digit equal print maximum divisible polycarp get making vertical cut given,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
26,26,1005/E1,given permutation permutation length sequence occurs exactly sequence find pair index value median exactly given median sequence value element middle sequence sorting non decreasing order length sequence even left middle element used example median since sorting sequence look like left middle element equal median equal since sorting value middle sequence write program find pair index value median exactly given contains length given sequence required value median second contains permutation occurs exactly print required,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,27,1005/E2,given sequence find pair index value median exactly given median sequence value element middle sequence sorting non decreasing order length sequence even left middle element used example median since sorting sequence look like left middle element equal median equal since sorting value middle sequence write program find pair index value median exactly given contains length given sequence required value median second contains sequence print required,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,28,1005/F,city berland pair city connected road road bidirectional road connects different city road pair city city numbered known capital city reach city moving along road president berland plan improve country road network budget enough repair exactly road president plan choose set road possible travel capital city along chosen road road needed travel capital city moving along chosen road minimized minimal possible word set road preserve connectivity country sum distance city city minimized use chosen road president instructed ministry prepare possible option choose road condition met write program find possible way choose road repair fewer way program output possible valid way choose road input contains n city country road option choose set road repair guaranteed following describe road road per contains city road connects road pair city given set road reach city capital print way choose set road repair recall need find different option fewer need find possible different valid option,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
29,29,1006/A,mishka got array length birthday present surprise mishka like present want change somehow ha invented algorithm called mishka adjacent replacement algorithm algorithm represented sequence step replace occurrence array replace occurrence array replace occurrence array replace occurrence array replace occurrence array replace occurrence array replace occurrence array replace occurrence array note dot middle algorithm mean mishka applies replacement pair adjacent described example array following sequence array represents algorithm replace occurrence replace occurrence replace occurrence replace occurrence replace occurrence replace occurrence replace occurrence later step algorithm change array mishka lazy want apply change interested result help find input contains element mishka birthday present surprisingly array second input contains element array print final value element array applying mishka adjacent replacement algorithm array note change order element array,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,30,1006/B,polycarp practicing problem solving skill ha list problem difficulty respectively plan practice exactly day day ha solve least problem list polycarp solves problem order given list skip problem list ha solve problem exactly day thus day polycarp solves contiguous sequence consecutive problem start list skip problem solve multiple time result day solve problem profit day polycarp practice maximum difficulty problem polycarp solves day solves problem index day profit day max l max total profit practice sum profit day practice want help polycarp get maximum possible total profit valid way solve problem task distribute problem day satisfying condition way total profit maximum example possible distribution maximum total profit total profit equal input contains problem day respectively second input contains difficulty problem polycarp list order placed list order polycarp solve output print maximum possible total profit,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
31,31,1006/C,given array consisting task split array part empty way element array belongs exactly part part form consecutive contiguous subsegment possibly empty original array let sum element part sum element second part sum element third part possible way split array choose way maximum possible formally part array contains element second part array contains element third part contains element sum di sum bdi sum cdi sum empty array task find way split array maximum possible input contains element array second input contains element array print single maximum possible value considering condition must met,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,32,1006/D,given string consisting lowercase english letter length character string index inclusive allowed following change choose index swap character choose index swap character choose index swap character note odd formally allowed swap string move useless swap equal character operation useless well make string equal applying change described order obvious impossible make string equal swap preprocess move replace character another character word single preprocess move choose index character set task find minimum preprocess move apply way make string equal applying change described list note change make preprocess move doe matter note apply preprocess move string make preprocess move change made input contains length string second contains string consisting exactly lowercase english letter third contains string consisting exactly lowercase english letter print single minimum preprocess move apply change possible make string equal string sequence change list,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,33,1006/E,problem help berland army organizing command delivery system officer berland army officer commander army doe superior every officer ha exactly direct superior officer direct superior officer say officer direct subordinate officer officer considered subordinate direct indirect officer following condition hold officer direct superior officer direct superior officer subordinate officer example picture subordinate officer structure berland army organized way every officer except commander subordinate commander army formally let represent berland army tree consisting vertex vertex corresponds officer parent vertex corresponds direct superior officer root ha index corresponds commander army berland war ministry ha ordered give answer query query given officer positive process query imagine command spread subordinate typical dfs depth search algorithm used suppose current officer spread command officer chooses direct subordinate child tree ha received command many direct subordinate chooses minimal index officer give command officer afterwards us exactly algorithm spread command subtree finish spreading command officer chooses next direct subordinate using strategy officer choose direct subordinate still received command officer finish spreading command let look following example officer spread command officer receive following order officer spread command officer receive following order officer spread command officer receive following order officer spread command officer receive following order answer query construct sequence describes order officer receive command officer spread return element constructed list fewer element process query independently query affect following query input contains officer berland army query second input contains index direct superior officer index commander ha index superior next describe query query given pair index officer start spreading command index required officer command spreading sequence print officer position list describes order officer receive command start spreading officer print officer receive command le,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
34,34,1006/F,rectangular grid size nm cell ha written cell task calculate path upper left cell bottom right cell meeting following constraint move right bottom formally cell move cell cell target cell outside grid xor path cell cell must equal xor operation bitwise exclusive represented java xor pascal find path given grid input contains height width grid next element print path xor sum equal,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
35,35,1007/A,given array vasya permute change order want many possible become place smaller used stand help vasya find maximal instance given array permute becomes second position became larger third fourth permutation vasya want maximize equal read note example demonstrative test case help vasya permute way position new array greater original maximal contains single length array second contains element array print single maximal array element permutation stand position smaller element stood initial array,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
36,36,1007/B,given rectangular parallelepiped side positive length find different group parallelepiped abc paved parallelepiped abc note small parallelepiped rotated direction example parallelepiped divided parallelepiped divided parallelepiped contains single test case next contains size parallelepiped test case print different group point satisfy given condition,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37,37,1007/C,interactive problem vasya vitya play game vasya thought vitya try guess round tell vasya vitya win else vasya must say phrase le le greater greater vasya lie multiple phrase true choose example vasya thought answer phrase query answer phrase phrase query help vitya win round contains single upper limit need read make query,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,38,1007/D,tree vertex ant living ant ha color ant ha favorite pair vertex need tell possible paint edge tree color every ant able walk vertex favorite pair using edge color possible need print pair every ant use contains single vertex next contains meaning edge vertex next contains single ant next contains meaning pair favorite ant print without quote wanted painting impossible,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
39,39,1007/E,simplified version mini metro game subway train direction station people waiting train station beginning game game start beginning hour end hour couple minute end hour people instantly arrive station moment people station larger lose player ha several train appoint hour capacity train passenger middle appointed hour train go station taking many people station accommodate train take people station people station multiple train appointed hour capacity added moving together player want stay game hour determine minimum train need contains station hour want survive capacity train respectively next contains people station beginning game people arriving station end hour maximum people station allowed respectively output single answer problem,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,1008/A,vitya ha started learning berlanese language known berlanese us latin alphabet vowel letter letter consonant berlanese ha vowel every consonant letter vowel exception consonant letter letter vowel letter example word harakiri yupie man nbo berlanese word horse king help vitya find word berlanese input contains string consisting lowercase latin letter print yes without quote vowel every consonant except otherwise print,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,41,1008/B,rectangle row either turn rectangle degree leave turn rectangle width height height width notice turn rectangle turn none change order rectangle find way make rectangle order non ascending height word turn height every rectangle ha greater height previous rectangle contains single rectangle next contains width height rectangle print yes without quote way make rectangle order non ascending height otherwise print,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
42,42,1009/A,maxim want buy game local game shop game shop game cost maxim ha wallet represented array wallet contains bill bill ha value game shop ordered left right maxim try buy every game order maxim stand position shop take bill wallet wallet empty proceeds next position immediately try buy game using bill maxim tried buy game leaf shop maxim buy game value bill take wallet greater equal cost game successfully buy game bill wallet disappears next bill becomes otherwise maxim leaf bill wallet bill still remains proceeds next game example array array following process take place maxim buy game using bill value bill disappears second bill value becomes maxim wallet maxim buy second game third game buy fourth game using bill value third bill becomes maxim wallet buy fifth game using bill value task get game maxim buy input contains game bill maxim wallet second input contains cost game third input contains value bill maxim wallet print single game maxim buy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,43,1009/B,given ternary string string consists character swap adjacent consecutive character replace vice versa adjacent consecutive character replace vice versa example string perform following move note swap vice versa perform operation given string excluding described task obtain minimum possible lexicographically string using swap arbitrary time possibly string lexicographically le string string length exists position length string every hold input contains string consisting character length inclusive print single string minimum possible lexicographically string obtain using swap described arbitrary time possibly,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
44,44,1009/C,alice got array length birthday present third year row disappointing overwhelmengly boring filled entirely bob decided apply change array cheer alice bob ha chosen change following form chooses arbitrary position every add dist value cell dist distance position dist absolute value example alice currently ha array bob chooses position array become note bob choose position outside array smaller greater alice happiest element array big possible bob claimed arithmetic mean value element work fine metric maximum arithmetic mean value bob achieve contains element array change next contains parameter change print maximal average arithmetic mean element bob achieve,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,45,1009/D,let call undirected graph relatively prime edge gcd greatest common divisor edge pair vertex value gcd matter vertex numbered construct relatively prime graph vertex edge connected contains neither self loop multiple edge exists valid graph given vertex edge output impossible multiple answer print contains vertex edge exists valid graph given vertex edge output impossible,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
46,46,1009/E,leha planning journey moscow saratov hate train ha decided get city another car path moscow saratov represented straight well straight reality problem consider straight distance moscow saratov let say moscow situated point coordinate saratov coordinate driving long time really difficult formally leha ha already covered kilometer since stopped rest considers difficulty covering kilometer guaranteed every difficulty journey denoted sum difficulty kilometer journey fortunately rest site moscow saratov every point rest site leha enters rest site rest next kilometer difficulty kilometer difficulty example rest site coordinate difficulty journey kilometer difficulty second leha rest third kilometer difficulty fourth last another example rest site coordinate difficulty leha journey leha know point rest site ha consider every possible situation obviously different distribution rest site distribution different exists point contains rest site exactly distribution leha considers distribution equiprobable want calculate expected value difficulty journey obviously calculate modulo contains distance moscow saratov second contains difficulty kilometer leha ha rested print taken modulo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,1009/F,given rooted undirected tree consisting vertex vertex root let denote depth array vertex infinite sequence vertex condition hold ancestor simple path traverse exactly edge dominant index depth array vertex shortly dominant index vertex index every every every vertex tree calculate dominant index contains vertex tree follow containing denotes edge tree guaranteed edge form tree output equal dominant index vertex,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
48,48,1009/G,polycarp ha launched new startup idea niche pretty free key vector development sound really promising easily found investor ready sponsor company name startup actually polycarp ha already came name improvement never hurt want swap letter position obtain better name necessary letter adjacent addition investor ha chosen index name selected set letter index chosen different investor pairwise distinct index chosen investor letter finally polycarp sure smallest lexicographically name best like think google decided become alphabet formally given string consisting lowercase latin letter swap letter position arbitrary time swap possible smallest lexicographically name obtain letter every position allowed letter polycarp produce valid name print impossible string name polycarp ha came string consists lowercase latin letter second contains single investor next non empty string allowed character string contains pairwise distinct letter pairwise distinct position string appear investor demand letter position polycarp produce valid name print impossible,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
49,49,101/E,little gerald coach mike play interesting game beginning game pile consisting candy pile consisting stone gerald mike move turn mike go move mike check many candy stone gerald ha eaten let gerald eat candy stone mike award gerald prize point gerald move either eats candy pile candy stone pile stone mike see gerald ha eaten everything apart candy stone award point last time game end gerald allowed eat candy allowed eat stone tell gerald play get largest possible point required find possible optimal playing strategy gerald contains second contains third contains value calculated remainder division sum print maximal point gerald earn print second sting consisting character either character gerald move eating candy eat stone,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,1010/A,natasha going fly rocket mar return earth way mar land intermediate planet formally planet earth mar natasha make exactly flight flight consists phase take planet landing planet way overall itinerary trip planet take planet landing planet planet take planet landing planet planet take planet landing planet planet mass rocket together useful cargo without fuel ton natasha doe know much fuel load rocket unfortunately fuel loaded earth rocket run fuel planet natasha able return home fuel needed take planet land planet known ton fuel lift ton rocket planet land ton rocket onto planet example weight rocket ton weight fuel ton take coefficient ton fuel burnt since new weight fuel take ton please note allowed burn non integral amount fuel take landing amount initial fuel non integral well help natasha calculate minimum mass fuel load rocket note rocket must spend fuel carry useful cargo fuel need carry fuel ha already burnt assume rocket take land instantly contains single planet second contains weight payload third contains ton lifted ton fuel fourth contains ton landed ton fuel guaranteed natasha make flight take ton fuel natasha fly mar planet return earth print minimum mass fuel ton natasha take otherwise print single,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,51,1010/B,interactive problem natasha going fly mar finally natasha sat rocket fly fly get bored wish arrive mar already decides find something occupy think anything better calculate distance red planet let define distance mar unfortunately natasha doe know known natasha know besides positive natasha ask rocket question every question correct answer question rocket broken doe always answer correctly precisely let correct answer current question equal rocket answer question correctly answer otherwise answer addition rocket ha sequence length element sequence either rocket process sequence cyclic order element current element rocket answer correctly lie natasha know sequence know length ask rocket question help natasha find distance mar assume distance mar doe change natasha asking question solution accepted doe receive answer rocket even distance mar uniquely determined already received rocket answer contains maximum distance mar element sequence ask rocket question,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,52,1010/C,astronaut natasha arrived mar know martian poor alien ensure better life mar citizen emperor decided take tax every tourist visited planet natasha inhabitant earth therefore pay tax enter territory mar banknote denomination mar value banknote natasha ha infinite banknote denomination martian finger hand use system base addition martian consider digit system base divine thus last digit natasha tax amount written system base martian happy unfortunately natasha doe know martian divine digit determine value natasha make martian happy natasha use banknote martian give change contains denomination banknote base system mar second contains denomination banknote mar given decimal notation output value natasha make martian happy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,53,1010/D,natasha travel around mar mar rover suddenly broke namely logical scheme inside scheme undirected tree connected acyclic graph root vertex every leaf excluding root input vertex logical element including root output bit fed input bit returned output type logical element input input xor input input logical element take value direct descendant input return result function perform natasha know logical scheme mar rover well fact input broken order fix mar rover need change value input input determine output natasha change input contains single vertex graph input element next contains description vertex word xor mean input scheme vertex type vertex value input follows otherwise follow index input vertex element xor input whereas ha input vertex numbered guaranteed input data contains correct logical scheme output produced vertex print string character without quote answer problem input ascending order vertex index,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
54,54,1010/E,natasha wa already going fly back earth remembered need martian store buy martian souvenir friend known martian year last max month month last max day day last max second natasha know store work according following schedule month year selected max day month max second day max store work moment month day second simultaneously unfortunately natasha doe know martian told natasha went store time time wa opened time closed described every trip store month day second trip whether store wa open closed moment natasha store time determine whether store time trip open closed information unknown contains max max max max max max month year day month second day time store according martian wa opened wa closed natasha query next contains max max max month day second time store according martian wa opened next contains max max max month day second time store according martian wa closed next contains max max max month day second natasha query martian wa mistaken information store open closed inconsistent print single incorrect without quote,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,55,1010/F,main martian tree grows mar binary tree rooted tree son vertex vertex root vertex ha fruit main martian fruit summer tree doe fruit autumn coming soon leaf branch begin fall tree clear vertex fall tree entire subtree fall addition root remain tree formally tree connected subset vertex containing root fruit grow tree vertex remain exactly fruit grow root fruit remaining vertex le sum fruit remaining son vertex allowed vertex fruit natasha wondered many tree configuration described change since large output modulo configuration resulting tree considered different condition true different subset remaining vertex subset remaining vertex vertex subset different amount fruit contains size tree fruit root following contains vertex connected edge tree guaranteed input data describes correct binary tree root vertex print configuration resulting tree modulo,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
56,56,1011/A,natasha going fly mar need build rocket consists several stage order stage defined lowercase latin letter way rocket described string concatenation letter correspond stage stage available rocket must exactly stage rocket ordered weight stage letter stage letter least position alphabet skipping letter even example letter letter letter rocket fly far possible weight minimal weight rocket equal sum weight stage weight stage letter alphabet example stage weighs ton weighs ton ton build rocket minimal weight determine impossible build rocket stage used input contains available stage stage use rocket second contains string consists exactly lowercase latin letter letter defines new stage used build rocket stage used print single minimal total weight rocket impossible build rocket,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
57,57,1011/B,natasha planning expedition mar people important task provide food participant warehouse ha daily food package package ha food type participant must eat exactly food package day due extreme load participant must eat food type throughout expedition different participant eat different type food formally participant natasha select food type day participant eat food package type value different participant different maximum possible day expedition last following requirement contains expedition participant daily food package available second contains sequence type food package print single day expedition last possible plan expedition even day print,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
